Cocktail Name,Ingredients,Preparation,Glassware,Bartender,Location,Image_URL,Image_Path
Alexander,30 ml Cognac 30 ml Crème de Cacao (Brown) 30 ml Fresh Cream,Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-alexander-669491364f7f2.webp,cocktail_images\alexander.jpg
Americano,30 ml Bitter Campari 30 ml Sweet Red Vermouth A splash of Soda Water,Mix the ingredients directly in an old fashioned glass filled with ice cubes. Add a splash of Soda Water. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-americano-669490fe3cb42.webp,cocktail_images\americano.jpg
Angel Face,30 ml Gin 30 ml Apricot Brandy 30 ml Calvados,Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-angel-face-669490fe6df67.webp,cocktail_images\angel_face.jpg
Aviation,45 ml Gin 15 ml Maraschino Luxardo 15 ml Fresh Lemon Juice 1 Bar Spoon Crème de Violette,Add all ingredients into a cocktail shaker. Shake with cracked ice and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-aviation-66949102296a4.webp,cocktail_images\aviation.jpg
Between the Sheets,30 ml White Rum 30 ml Cognac 30 ml Triple Sec 20 ml Fresh Lemon Juice,Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-between-the-sheets-669491023d7af.webp,cocktail_images\between_the_sheets.jpg
Boulevardier,45 ml Bourbon or Rye Whiskey 30 ml Bitter Campari 30 ml Sweet Red Vermouth,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-boulevardier-6694910552acd.webp,cocktail_images\boulevardier.jpg
Brandy Crusta,52.5 ml Brandy 7.5 ml Maraschino Luxardo 1 Bar Spoon Curacao 15 ml Fresh Lemon Juice 1 Bar Spoon Simple Syrup 2 Dashes Aromatic Bitters,Mix together all ingredients with ice cubes in a mixing glass and strain into a prepared slim cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-brandy-crusta-6694910571bcb.webp,cocktail_images\brandy_crusta.jpg
Casino,40 ml Old Tom Gin 10 ml Maraschino Luxardo 10 ml Fresh Lemon Juice 2 Dashes Orange Bitters,"Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled rocks glass with ice.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-casino-6694910882cd6.webp,cocktail_images\casino.jpg
Clover Club,45 ml Gin 15 ml Raspberry Syrup 15 ml Fresh Lemon Juice Few Drops of Egg White,"Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-clover-club-66949108a3e54.webp,cocktail_images\clover_club.jpg
Daiquiri,60 ml White Cuban Ron 20 ml Fresh Lime Juice 2 Bar Spoons Superfine Sugar,In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-daiquiri-6694910c5866e.webp,cocktail_images\daiquiri.jpg
