Cocktail Name,Ingredients,Preparation,Glassware,Bartender,Location,Image_URL,Image_Path,Ingredients (Hebrew),Preparation (Hebrew)
Alexander,30 ml Cognac 30 ml Crème de Cacao (Brown) 30 ml Fresh Cream,Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-alexander-669491364f7f2.webp,cocktail_images\alexander.jpg,"30 מ""ל קוניאק 30 מ""ל קרם דה קקאו (חום) 30 מ""ל קרם טרי",יוצקים את כל החומרים לשייקר קוקטיילים מלאים בקוביות קרח. מנערים ומסננים לכוס קוקטייל צוננת.
Americano,30 ml Bitter Campari 30 ml Sweet Red Vermouth A splash of Soda Water,Mix the ingredients directly in an old fashioned glass filled with ice cubes. Add a splash of Soda Water. Stir gently.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-americano-669490fe3cb42.webp,cocktail_images\americano.jpg,"30 מ""ל קמפרי ביטר 30 מ""ל ורמוט אדום מתוק שפריץ של מי סודה",מערבבים את החומרים ישירות בכוס מיושנת מלאה בקוביות קרח. הוסף שפריץ של מי סודה. מערבבים בעדינות.
Angel Face,30 ml Gin 30 ml Apricot Brandy 30 ml Calvados,Pour all ingredients into cocktail shaker filled with ice cubes. Shake and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-angel-face-669490fe6df67.webp,cocktail_images\angel_face.jpg,"30 מ""ל ג'ין 30 מ""ל משמש ברנדי 30 מ""ל קלבדוס",יוצקים את כל החומרים לשייקר קוקטיילים מלאים בקוביות קרח. מנערים ומסננים לכוס קוקטייל צוננת.
Aviation,45 ml Gin 15 ml Maraschino Luxardo 15 ml Fresh Lemon Juice 1 Bar Spoon Crème de Violette,Add all ingredients into a cocktail shaker. Shake with cracked ice and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-aviation-66949102296a4.webp,cocktail_images\aviation.jpg,"45 מ""ל ג'ין 15 מ""ל Maraschino Luxardo 15 מ""ל מיץ לימון טרי 1 כפית בר קרם דה ויולט",מוסיפים את כל החומרים לשייקר קוקטיילים. מנערים עם קרח סדוק ומסננים לכוס קוקטייל צוננת.
Between the Sheets,30 ml White Rum 30 ml Cognac 30 ml Triple Sec 20 ml Fresh Lemon Juice,Add all ingredients into a cocktail shaker. Shake with ice and strain into a chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-between-the-sheets-669491023d7af.webp,cocktail_images\between_the_sheets.jpg,"30 מ""ל רום לבן 30 מ""ל קוניאק 30 מ""ל Triple Sec 20 מ""ל מיץ לימון טרי",מוסיפים את כל החומרים לשייקר קוקטיילים. מנערים עם קרח ומסננים לכוס קוקטייל צוננת.
Boulevardier,45 ml Bourbon or Rye Whiskey 30 ml Bitter Campari 30 ml Sweet Red Vermouth,Pour all ingredients into mixing glass with ice cubes. Stir well. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-boulevardier-6694910552acd.webp,cocktail_images\boulevardier.jpg,"45 מ""ל ויסקי בורבון או שיפון 30 מ""ל קמפרי ביטר 30 מ""ל ורמוט אדום מתוק",יוצקים את כל החומרים לכוס ערבוב עם קוביות קרח. מערבבים היטב. מסננים לכוס קוקטייל צוננת.
Brandy Crusta,52.5 ml Brandy 7.5 ml Maraschino Luxardo 1 Bar Spoon Curacao 15 ml Fresh Lemon Juice 1 Bar Spoon Simple Syrup 2 Dashes Aromatic Bitters,Mix together all ingredients with ice cubes in a mixing glass and strain into a prepared slim cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-brandy-crusta-6694910571bcb.webp,cocktail_images\brandy_crusta.jpg,"52.5 מ""ל ברנדי 7.5 מ""ל Maraschino Luxardo 1 כפית בר Curacao 15 מ""ל מיץ לימון טרי 1 כפית בר פשוט סירופ 2 קוביות מרירות ארומטיות",מערבבים יחד את כל החומרים עם קוביות קרח בכוס ערבוב ומסננים לכוס קוקטייל דקה מוכנה.
Casino,40 ml Old Tom Gin 10 ml Maraschino Luxardo 10 ml Fresh Lemon Juice 2 Dashes Orange Bitters,"Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled rocks glass with ice.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-casino-6694910882cd6.webp,cocktail_images\casino.jpg,"40 מ""ל ישן טום ג'ין 10 מ""ל Maraschino Luxardo 10 מ""ל מיץ לימון טרי 2 קווצות תפוז ביטר","יוצקים את כל המרכיבים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס סלעים צוננת עם קרח."
Clover Club,45 ml Gin 15 ml Raspberry Syrup 15 ml Fresh Lemon Juice Few Drops of Egg White,"Pour all ingredients into cocktails shaker, shake well with ice, strain into chilled cocktail glass.",Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-clover-club-66949108a3e54.webp,cocktail_images\clover_club.jpg,"45 מ""ל ג'ין 15 מ""ל סירופ פטל 15 מ""ל מיץ לימון טרי כמה טיפות חלבון ביצה","יוצקים את כל המרכיבים לשייקר קוקטיילים, מנערים היטב עם קרח, מסננים לכוס קוקטייל צוננת."
Daiquiri,60 ml White Cuban Ron 20 ml Fresh Lime Juice 2 Bar Spoons Superfine Sugar,In a cocktail shaker add all ingredients. Stir well to dissolve the sugar. Add ice and shake. Strain into chilled cocktail glass.,Standard Glass,IBA Official,Global,https://iba-world.com/wp-content/uploads/2024/07/iba-cocktail-the-unforgettables-daiquiri-6694910c5866e.webp,cocktail_images\daiquiri.jpg,"60 מ""ל לבן קובה רון 20 מ""ל מיץ ליים טרי 2 בר כפיות סוכר סופר דק",בשייקר קוקטיילים מוסיפים את כל החומרים. מערבבים היטב להמסת הסוכר. מוסיפים קרח ומנערים. מסננים לכוס קוקטייל צוננת.
